"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,           0,      0.1826061343,       5.071799884,      -5.495947997,      -4.030148187
          0,           0,           1,      0.3924245268,       6.626908394,       5.611781023,      -4.371283066
          0,           0,           2,      0.1749951585,       5.588128607,       5.116938104,      -4.018348879
          0,           0,           3,    -0.01927992827,       5.838952523,       5.178220985,       -4.27512765
          0,           0,           4,     -0.1791121195,       5.337298096,       4.860845592,      -4.280614605
          0,           0,           5,     -0.4291905981,        4.83811934,       4.709587602,      -4.312852877
          0,           0,           6,     -0.3749562318,       4.702915553,       4.501023031,      -4.315194909
          0,           0,           7,     -0.3683726701,       4.757365723,       4.393762818,      -4.225712351
          0,           0,           8,     -0.5385848993,       4.649677512,       4.430423968,      -4.033645085
          0,           0,           9,     -0.8226699567,       4.478022357,       4.420130755,      -3.848105944
          0,           0,          10,      -0.844669577,       4.401959751,       4.337682115,      -3.695979587
          0,           0,          11,     -0.7436335903,       4.425280498,       4.223514474,      -3.547329984
          0,           0,          12,     -0.7619497899,       4.412929619,       4.154880956,      -3.397080263
          0,           0,          13,     -0.8549589535,        4.36608658,       4.147690188,      -3.249003356
          0,           0,          14,     -0.9631881167,       4.319926374,       4.145358925,      -3.099578057
          0,           0,          15,       -1.04056826,        4.28211531,       4.125202224,      -2.953279193
          0,           0,          16,      -1.074444975,       4.251319914,        4.09916806,      -2.811544566
          0,           0,          17,      -1.079164358,       4.229654965,       4.089851173,      -2.675518792
          0,           0,          18,      -1.072215307,       4.213763751,       4.104880636,      -2.542169499
          0,           0,          19,      -1.062262399,       4.202728637,       4.128926668,      -2.411091603
          0,           0,          20,      -1.046042253,       4.196459125,       4.145615276,      -2.286755334
          0,           0,          21,      -1.025027326,       4.197934642,       4.150030043,      -2.164511141
          0,           0,          22,      -1.009354694,       4.200823444,       4.146276134,      -2.042496411
          0,           0,          23,      -1.007289098,       4.199738657,       4.141512473,       -1.92585222
          0,           0,          24,      -1.022198266,       4.193578152,       4.140480044,      -1.813528006
          0,           0,          25,      -1.051791757,       4.184907193,       4.142794307,      -1.702839908
          0,           0,          26,      -1.087625156,       4.177890808,       4.144893766,      -1.594069464
          0,           0,          27,      -1.117709617,       4.175383073,        4.14399987,      -1.488727898
          0,           0,          28,      -1.134584407,       4.176506887,       4.139735022,      -1.387836818
          0,           0,          29,      -1.140886278,       4.177820451,       4.133330058,      -1.288920194
          0,           0,          30,      -1.143941561,       4.176175025,        4.12601668,      -1.195180065
          0,           0,          31,      -1.148220984,       4.170280474,       4.118118402,      -1.105439427
          0,           0,          32,      -1.154157465,       4.160392132,       4.109244731,      -1.020287993
          0,           0,          33,      -1.160681343,       4.147223531,       4.098933816,     -0.9405069421
          0,           0,          34,      -1.167137171,       4.131301553,        4.08709861,     -0.8642528273
          0,           0,          35,      -1.173261482,       4.113103311,       4.073905111,     -0.7945550515
          0,           0,          36,      -1.178159954,       4.093439266,       4.059205141,     -0.7301389634
          0,           0,          37,      -1.179695852,       4.073717378,       4.042074107,     -0.6751063698
          0,           0,          38,      -1.175089009,       4.056205197,       4.020700826,     -0.6327133713
          0,           0,          39,      -1.162684983,       4.044157825,        3.99252876,     -0.6082623235
          0,           0,          40,      -1.142092008,       4.046528766,       3.954439506,     -0.6050056889
          0,           0,          41,      -1.118530161,       4.059269509,       3.902417596,     -0.6330148168
          0,           0,          42,      -1.099088804,       4.075949846,       3.834091987,     -0.7681725039
          0,           0,          43,      -1.088291434,       4.089761564,       3.752186596,      -1.074659359
          0,           0,          44,      -1.088249231,       4.096504059,       3.667050336,      -1.235946998
          0,           0,          45,      -1.098883136,       4.095999236,       3.598796372,      -1.279318732
          0,           0,          46,      -1.121618134,       4.086753496,       3.551386835,      -1.336255451
          0,           0,          47,      -1.155119857,       4.074946083,        3.53664999,      -1.427772979
          0,           0,          48,      -1.196142712,       4.062123457,        3.52613081,      -1.548152262
          0,           0,          49,      -1.239829247,       4.051512523,       3.515822917,       -1.68060043
          0,           0,          50,      -1.280948324,       4.043936777,       3.505516303,      -1.804077638
          0,           0,          51,       -1.31477089,       4.038720542,        3.49702479,      -1.874694475
          0,           0,          52,      -1.338316484,        4.03451927,       3.492400518,      -1.876746751
          0,           0,          53,      -1.351561453,       4.030063333,       3.490783453,      -1.848222176
          0,           0,          54,      -1.356326765,       4.024345365,       3.490497465,      -1.822501734
          0,           0,          55,      -1.354739417,       4.016864764,       3.490432662,      -1.811898305
          0,           0,          56,      -1.348456892,       4.007600661,         3.4893968,      -1.819566173
          0,           0,          57,      -1.338974251,       3.996529961,        3.48678362,      -1.846962857
          0,           0,          58,      -1.327792267,       3.983579561,       3.482378833,      -1.885985403
          0,           0,          59,      -1.316325419,       3.968576272,       3.476095482,      -1.937188391
          0,           0,          60,      -1.305809651,       3.951209381,       3.468008478,      -1.987263826
          0,           0,          61,      -1.297189324,       3.931165497,       3.458271722,      -2.010131584
          0,           0,          62,       -1.29105301,       3.908189664,       3.447179151,      -1.992713836
          0,           0,          63,      -1.287633643,       3.882155333,       3.435183858,      -1.949375571
          0,           0,          64,      -1.286861618,       3.853138967,       3.422967304,      -1.901851979
          0,           0,          65,      -1.288451405,       3.821468165,       3.411342225,      -1.863493242
          0,           0,          66,      -1.292030449,        3.78769227,       3.401188913,        -1.8362932
          0,           0,          67,      -1.297215396,       3.752659117,       3.393333058,      -1.819597129
          0,           0,          68,      -1.303692278,       3.717473351,       3.388348978,      -1.811893889
          0,           0,          69,      -1.311251127,       3.683532288,       3.386463426,      -1.810522648
          0,           0,          70,      -1.319809323,       3.652371766,       3.387544836,      -1.812714827
          0,           0,          71,      -1.329398609,       3.625499026,       3.391161056,      -1.816938025
          0,           0,          72,      -1.340123116,       3.604173575,       3.396681676,      -1.822759432
          0,           0,          73,      -1.352118781,       3.589104069,       3.403403876,      -1.831513343
          0,           0,          74,      -1.365499133,       3.580294834,       3.410642544,      -1.845539403
          0,           0,          75,      -1.380330188,       3.577118437,       3.417778612,      -1.864672696
          0,           0,          76,      -1.396608499,       3.578432951,       3.424280014,      -1.886901374
          0,           0,          77,      -1.414275024,       3.582850455,       3.429721338,      -1.911439641
          0,           0,          78,      -1.433244411,       3.588997365,       3.433775539,      -1.938023665
          0,           0,          79,      -1.453446538,       3.595628719,       3.436209581,      -1.966013485
          0,           0,          80,      -1.474856869,       3.601676369,       3.436872492,      -1.994282152
          0,           0,          81,      -1.497509533,       3.606375554,          3.435696,      -2.022173065
          0,           0,          82,       -1.52148819,       3.609139817,       3.432619375,       -2.04910407
          0,           0,          83,      -1.546913524,       3.609658173,       3.427642683,      -2.074220131
          0,           0,          84,      -1.573911644,       3.607717005,       3.420789227,      -2.097132433
          0,           0,          85,      -1.602573011,       3.603269459,       3.412085986,       -2.11702808
          0,           0,          86,      -1.632943489,       3.596425257,       3.401573231,      -2.133366477
          0,           0,          87,      -1.665020914,        3.58722256,       3.389298795,      -2.145090768
          0,           0,          88,      -1.698757188,       3.575795591,       3.375304349,      -2.152038969
          0,           0,          89,      -1.734066555,       3.562307848,       3.359639304,      -2.153113617
          0,           0,          90,      -1.770862682,       3.546908341,       3.342359353,      -2.149372955
          0,           0,          91,       -1.80905557,        3.52969065,       3.323513893,       -2.13833472
