"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -2.263692843,     0.08200889078,      0.1335991668,       4.363485537,       2.183912352,       6.005020582
          0,           0,           1,      -1.989262777,      0.9641503641,      0.4200676209,       3.628815216,       1.590765481,       8.381783599
          0,           0,           2,      -2.219317761,     0.04929666757,      0.2837142348,       3.186083208,      0.9954296258,       9.187601232
          0,           0,           3,      -2.418888655,     -0.2201256884,     -0.1670799844,       3.079476967,      0.4492826621,       8.626642755
          0,           0,           4,       -2.67689947,      -0.341395845,     -0.3719547869,       2.811458458,    -0.04605709603,       8.047673405
          0,           0,           5,      -2.742953725,     -0.4977017252,     -0.4591375327,       2.730648752,     -0.4587079695,       7.415524902
          0,           0,           6,      -2.715272963,     -0.4449028909,     -0.2703545188,       2.743835736,     -0.7556380267,       6.776416525
          0,           0,           7,      -2.723399299,     -0.3627151222,     -0.2315044656,       2.741744844,     -0.9083377401,       6.232839688
          0,           0,           8,      -2.781477839,     -0.3690159267,     -0.2892141693,       2.690965752,     -0.9808713543,        5.78228329
          0,           0,           9,      -2.876251785,     -0.4466019239,     -0.4329785608,       2.601604637,      -1.050478785,       5.374718586
          0,           0,          10,      -2.984247446,     -0.5575632623,     -0.6650473155,       2.496983874,      -1.127701768,       5.073554839
          0,           0,          11,      -3.067850643,     -0.6500033556,      -0.828921937,         2.4124305,      -1.200763163,       5.275645789
          0,           0,          12,      -3.111994893,     -0.7057049245,     -0.7191034723,        2.36243366,      -1.267119304,        5.41636049
          0,           0,          13,      -3.139007164,     -0.7597534648,     -0.6377925327,       2.327399645,      -1.333015885,       5.459470063
          0,           0,          14,      -3.163954781,     -0.8336503311,      -0.638683965,       2.293798439,      -1.395297793,       5.436171227
          0,           0,          15,      -3.184101699,     -0.8997039075,     -0.7059737632,       2.265831171,      -1.442393198,       5.362091462
          0,           0,          16,      -3.198173506,     -0.9075926729,     -0.8221622176,       2.246315259,      -1.460906833,       5.251381606
          0,           0,          17,      -3.216692176,     -0.8753813892,     -0.9484063161,       2.223903698,      -1.460973104,       5.125973103
          0,           0,          18,      -3.252872699,     -0.8553282083,      -1.017593582,       2.182781548,      -1.463990249,       5.011453722
